

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
150.630  000.090  000.090: require('lir.mappings')
150.723  000.090  000.090: require('lir.highlight')
150.868  000.141  000.141: require('lir.smart_cursor')
150.967  000.096  000.096: require('lir.context')
151.056  000.085  000.085: require('lir.vim')
151.082  002.947  000.321: require('lir')
151.261  000.174  000.174: require('lir.actions')
151.392  000.127  000.127: require('lir.mark.actions')
151.641  000.112  000.112: require('lir.clipboard')
151.736  000.091  000.091: require('lir.mark.utils')
151.750  000.355  000.152: require('lir.clipboard.actions')
151.991  000.132  000.132: require('lvim.core.illuminate')
152.122  000.118  000.118: require('lvim.core.indentlines')
152.330  000.195  000.195: require('lvim.core.breadcrumbs')
152.572  000.142  000.142: require('lvim.core.project')
152.817  000.234  000.234: require('lvim.core.bufferline')
153.285  000.423  000.423: require('lvim.core.autopairs')
153.470  000.155  000.155: require('lvim.core.comment')
154.268  000.794  000.794: require('ts_context_commentstring.integrations.comment_nvim')
154.439  000.152  000.152: require('lvim.core.lualine')
154.575  000.128  000.128: require('lvim.core.alpha')
154.841  000.262  000.262: require('lvim.core.alpha.dashboard')
155.045  000.190  000.190: require('lvim.core.alpha.startify')
155.203  000.152  000.152: require('lvim.interface.text')
155.366  000.157  000.157: require('lvim.utils.git')
162.426  000.131  000.131: require('structlog.level')
162.450  000.382  000.251: require('structlog.logger')
162.680  000.126  000.126: require('structlog.formatters.format')
162.807  000.122  000.122: require('structlog.formatters.format_colorizer')
162.813  000.359  000.110: require('structlog.formatters')
163.347  000.171  000.171: require('structlog.processors.timestamper')
163.486  000.129  000.129: require('structlog.processors.stack_writer')
163.690  000.201  000.201: require('structlog.processors.namer')
163.698  000.881  000.381: require('structlog.processors')
164.626  000.094  000.094: require('structlog.formatters.key_value')
164.645  000.315  000.221: require('structlog.sinks.console')
164.770  000.122  000.122: require('structlog.sinks.nvim_notify')
164.878  000.104  000.104: require('structlog.sinks.file')
165.051  000.168  000.168: require('structlog.sinks.rotating_file')
165.056  001.354  000.646: require('structlog.sinks')
165.063  003.293  000.318: require('structlog')
178.940  000.533  000.533: require('alpha.themes.dashboard')
179.437  000.312  000.312: require('lvim.core.mason')
179.767  000.278  000.278: require('lvim.config.settings')
184.069  000.425  000.425: require('lvim.core.autocmds')
185.148  000.552  000.552: require('lvim.lsp.config')
185.641  000.271  000.271: require('lvim.config._deprecated')
186.170  000.505  000.505: require('lvim.plugin-loader')
187.024  000.350  000.350: require('packer.util')
187.145  000.927  000.577: require('packer')
188.232  000.433  000.433: require('packer.log')
188.249  000.636  000.203: require('packer.async')
188.699  000.281  000.281: require('packer.result')
188.714  000.461  000.181: require('packer.jobs')
188.730  001.363  000.266: require('packer.plugin_utils')
188.968  000.218  000.218: require('packer.snapshot')
189.520  000.307  000.307: require('lvim.core.autocmds')
194.449  001.697  001.697: require('lvim.lsp.manager')
198.015  001.658  001.658: require('mason-core.functional')
199.354  000.288  000.288: require('mason-core.functional.data')
199.387  000.675  000.386: require('mason-core.functional.function')
199.439  001.401  000.726: require('mason-core.functional.table')
199.615  005.016  001.958: require('mason-lspconfig.mappings.server')
202.067  000.375  000.375: require('mason-core.path')
204.505  002.423  002.423: require('mason.settings')
205.752  000.312  000.312: require('mason-core.functional.relation')
206.462  000.514  000.514: require('mason-core.functional.logic')
206.725  002.204  001.378: require('mason-core.platform')
206.888  005.868  000.866: require('mason-core.log')
208.094  000.719  000.719: require('mason-core.async')
208.406  000.305  000.305: require('mason-core.async.uv')
208.524  001.631  000.607: require('mason-core.fs')
209.097  000.569  000.569: require('mason-core.optional')
209.785  000.684  000.684: require('mason-core.EventEmitter')
211.161  001.367  001.367: require('mason-registry.index')
212.442  001.085  001.085: require('mason-core.functional.list')
212.522  012.901  001.697: require('mason-registry')
216.789  000.562  000.562: require('lvim.lsp')
217.614  000.141  000.141: require('cmp_nvim_lsp.source')
217.631  000.826  000.685: require('cmp_nvim_lsp')
221.160  001.107  001.107: require('lspconfig.util')
221.204  002.475  001.369: require('lspconfig.server_configurations.tsserver')
221.521  000.136  000.136: require('lspconfig.configs')
221.527  000.269  000.133: require('lspconfig')
225.766  000.770  000.770: require('lspconfig.server_configurations.emmet_ls')
229.560  000.477  000.477: require('lspconfig.server_configurations.phpactor')
233.821  000.992  000.992: require('lspconfig.server_configurations.marksman')
237.976  000.701  000.701: require('lspconfig.server_configurations.rust_analyzer')
239.652  000.117  000.117: require('lspconfig.server_configurations.pasls')
244.051  000.791  000.791: require('lspconfig.server_configurations.taplo')
246.031  000.287  000.287: require('null-ls.methods')
246.073  000.513  000.226: require('null-ls.utils')
246.110  001.174  000.661: require('null-ls.config')
246.293  000.082  000.082: require('null-ls.helpers.cache')
246.486  000.189  000.189: require('null-ls.helpers.diagnostics')
246.614  000.115  000.115: require('null-ls.helpers.formatter_factory')
246.844  000.100  000.100: require('null-ls.logger')
246.947  000.098  000.098: require('null-ls.state')
246.953  000.335  000.136: require('null-ls.helpers.generator_factory')
247.232  000.100  000.100: require('null-ls.helpers.command_resolver')
247.237  000.281  000.181: require('null-ls.helpers.make_builtin')
247.370  000.129  000.129: require('null-ls.helpers.range_formatting_args_factory')
247.374  001.260  000.129: require('null-ls.helpers')
248.083  000.581  000.581: require('null-ls.diagnostics')
248.118  000.740  000.159: require('null-ls.sources')
248.352  000.225  000.225: require('null-ls.builtins')
248.359  003.883  000.484: require('null-ls')
248.476  000.113  000.113: require('lvim.lsp.null-ls.services')
248.483  004.149  000.152: require('lvim.lsp.null-ls.formatters')
249.632  001.131  001.131: require('null-ls.builtins.formatting.eslint_d')
250.107  000.412  000.412: require('lspconfig/util')
251.927  000.657  000.657: require('null-ls.builtins.formatting.prettierd')
253.876  000.450  000.450: require('null-ls.builtins.formatting.gofumpt')
254.834  000.200  000.200: require('null-ls.builtins.formatting.fixjson')
256.061  000.704  000.704: require('null-ls.builtins.formatting.markdownlint')
257.540  000.617  000.617: require('null-ls.builtins.formatting.black')
258.257  000.137  000.137: require('null-ls.builtins.formatting.yamlfmt')
259.531  000.579  000.579: require('null-ls.builtins.formatting.phpcsfixer')
261.380  000.249  000.249: require('null-ls.client')
261.524  000.106  000.106: require('lvim.lsp.null-ls.linters')
262.769  000.180  000.180: require('null-ls.builtins.diagnostics.eslint')
263.194  001.655  001.475: require('null-ls.builtins.diagnostics.eslint_d')
264.690  000.672  000.672: require('null-ls.builtins.diagnostics.markdownlint')
265.533  000.244  000.244: require('null-ls.builtins.diagnostics.jsonlint')
266.653  000.633  000.633: require('null-ls.builtins.diagnostics.tsc')
267.580  000.183  000.183: require('null-ls.builtins.diagnostics.yamllint')
268.260  000.119  000.119: require('lvim.lsp.null-ls.code_actions')
269.477  000.475  000.475: require('null-ls.builtins.code_actions.eslint')
269.578  001.304  000.829: require('null-ls.builtins.code_actions.eslint_d')
270.779  000.166  000.166: require('lvim.keymappings')
273.617  002.486  002.486: require('lvim.plugins')
274.906  000.096  000.096: require('lunar.palette')
274.914  000.458  000.362: require('lunar.theme')
274.918  000.623  000.165: require('lunar')
279.959  000.999  000.999: require('catppuccin')
